dataset,env,task1,recall,precision,F1 score
fr,spring,anomaly_detection,0.9886363636363636,0.7631578947368421,0.8613861386138614
fr,night,anomaly_detection,1.0,0.9416419386745796,0.9699439633214467
fr,multiple,anomaly_detection,1.0,0.8737864077669902,0.932642487046632
sp,spring,anomaly_detection,0.9903846153846154,0.8573127229488704,0.9190567240280433
sp,night,anomaly_detection,1.0,0.9276780859162589,0.9624823695345558
sp,multiple,anomaly_detection,1.0,0.6583333333333333,0.7939698492462312
us,spring,anomaly_detection,1.0,0.8696655132641292,0.9302899444787168
us,night,anomaly_detection,1.0,0.7809417040358745,0.8769986151328214
us,multiple,anomaly_detection,1.0,0.7248701152021685,0.8404924044002096
