dataset,environment,model,ACC@1,ACC@3,ACC@5,HR@10,NDCG@10,Macro-F1
fr,daytime,CARNN_fixed,0.038910505836575876,0.12840466926070038,0.38910505836575876,0.4785992217898833,0.23044313110361664,0.006130487262562734
fr,single,CARNN_fixed,0.1761006289308176,0.35429769392033544,0.42557651991614254,0.5786163522012578,0.3589273415361228,0.03539792955743158
fr,winter,CARNN_fixed,0.18018018018018017,0.4144144144144144,0.42342342342342343,0.5225225225225225,0.35626750183194683,0.030744762944420398
sp,daytime,CARNN_fixed,0.41735537190082644,0.4669421487603306,0.47520661157024796,0.6074380165289256,0.494275541062011,0.019630709426627795
sp,single,CARNN_fixed,0.268,0.438,0.614,0.78,0.4930257349132169,0.03351766645606743
sp,winter,CARNN_fixed,0.25603217158176944,0.34316353887399464,0.3753351206434316,0.42761394101876676,0.3387633886310104,0.029685206739827497
us,daytime,CARNN_fixed,0.2035541195476575,0.41777059773828756,0.4756058158319871,0.5544426494345719,0.37719836954829994,0.05112060822667009
us,single,CARNN_fixed,0.147,0.265,0.324,0.47,0.2873483335796232,0.04135845197875149
us,winter,CARNN_fixed,0.10886319845857419,0.21579961464354527,0.3114964675658317,0.42870905587668595,0.2426772143622221,0.012113200423334892
